Name,3I GROUP  ,ABERDEEN ASSET MAN.  ,ACKERMANS & VAN HAAREN  ,AMP  ,ASX  ,ACOM  ,AMERICAN EXPRESS  ,BANK OF NEW YORK MELLON  ,BLACKROCK  ,CI FINANCIAL  ,CLOSE BROTHERS GROUP  ,CIE.NALE.A PTF.  ,CAPITAL ONE FINL.  ,CHALLENGER FINL.SVS.GP.  ,CHARLES SCHWAB  ,CHINA EVERBRIGHT  ,COMPUTERSHARE  ,CREDIT SAISON  ,DAIWA SECURITIES GROUP  ,EURAZEO  ,EATON VANCE NV.  ,EQUIFAX  ,FRANKLIN RESOURCES  ,GAM HOLDING  ,GBL NEW  ,GOLDMAN SACHS GP.  ,ICAP  ,IGM FINL.  ,INDUSTRIVARDEN 'A'  ,INTERMEDIATE CAPITAL GP.  ,KINNEVIK 'B'  ,INVESTOR 'B'  ,LEGG MASON  ,MAN GROUP  ,MARFIN INV.GP.HDG.  ,MACQUARIE GROUP  ,MITSUB.UFJ LSE.& FINANCE  ,MIZUHO SECURITIES  ,MOODY'S  ,MORGAN STANLEY  ,NOMURA HDG.  ,ORIX  ,PARGESA 'B'  ,PROVIDENT FINANCIAL  ,PERPETUAL  ,RATOS 'B'  ,SCHRODERS  ,SLM  ,SOFINA  ,STATE STREET  ,T ROWE PRICE GP.  ,TD AMERITRADE HOLDING  ,WENDEL  
12/31/99,406.3,432.8,1104.6,73.2,277.2,231.8,1156.8,2430.4,121.7,625.6,9454.4,174.7,903.5,176.5,7040.1,391.1,5263.2,711.1,685.3,2329,14739.4,2106.9,901757.8,1195.5,493.7,133.8,93.6,903,1676.4,228,479.6,1061.9,880.3,229.2,2506.1,403.1,57.1,197.4,93.7,921,453.5,2745.9,271.8,8162.9,345.5,132.8,26913.6,1771,933.8,9666.2,2295.1,1334.6,303.7
1/3/00,406.3,432.8,1124.2,73.2,277.2,231.8,1094.2,2248.1,117.7,625.6,9454.4,176.6,866,176.5,6810,388.1,5263.2,711.1,685.3,2325.1,14618.2,2000.7,891210.9,1195.5,489.2,125.5,93.6,903,1717.2,228,451.1,1070.8,812,229.2,2691.9,403.1,57.1,197.4,91.5,871,453.5,2745.9,271.8,8162.9,345.5,127.2,26913.6,1668.9,924.6,9227.9,2182.5,1450,314.4
1/4/00,407.7,434.4,1099,70.8,278.8,236.4,1052.9,2183.5,112.4,610.3,8914.8,173,812.1,170.6,6764,424.7,5333.3,727.4,736.3,2247.2,14181.8,1933.7,875390.6,1190.5,474.5,117.6,93.6,837.3,1658.3,226.9,425,1044.2,758.8,229.2,2507,394.2,48.8,259.3,88.5,806.5,490.4,2660,266.6,8279.5,346.4,120.8,26114.4,1608.6,878.6,8715.3,2116.5,1392.3,285.8
1/5/00,393.8,418.9,1100.9,67.8,268.2,224.6,1024.6,2134.2,111.5,635.9,8850,173.4,793.4,161.8,6764,427.8,5052.6,755,696,2204.4,14206.1,1911.3,889453.1,1187.3,477,112.1,93.6,837.3,1613,226.4,417.8,1013.3,761.9,227.5,2337.5,383.8,43.2,246.1,86.9,777,452.3,2421.5,265.7,8203.7,340,118,25574.4,1590.3,860.1,8872.4,2112.6,1342.3,263.1
1/6/00,384.2,418,1070.7,65.9,275.3,225.6,1045.5,2187.3,113.3,641,8461.5,173,829.7,152.9,6902,501.1,5017.5,759,700.7,2200.5,14157.6,1889,943945.3,1200.5,477,116.9,93.6,832.9,1613,225.7,417.8,1013.3,775.5,226.9,2337.5,381.4,44.6,243.8,87.3,791.9,458.7,2182.9,267.6,8139.6,340,118,24148.8,1640.1,873.7,9244.4,2174.8,1342.3,267.2
1/7/00,391.5,418,1084.3,68.8,276.7,229.3,1060.7,2301.3,112.4,635.9,8405.4,173.8,853.1,150,7086.1,488.9,4568.4,759,677.1,2222.6,14400,1978.4,950976.5,1200.5,477,117.3,93.6,832.9,1631.1,225.7,413.1,1079.6,771,226.9,2499.4,373.1,45,237.6,89.3,816.5,454,2058.8,266.1,8588.5,341.8,117.1,24192,1718.6,866.8,9575.2,2159.2,1365.4,275.5
1/10/00,409.9,418,1070.7,71.5,282.4,229.3,1075.5,2198.7,113.3,646.2,8806.9,176.2,842.6,164.7,7178.1,488.9,5073.7,759,677.1,2241,14860.6,1961.6,956249.9,1180.6,497.3,119.9,93.6,854.8,1662.8,226.4,436.8,1092.9,784.6,226.9,2684.8,375.1,45,237.6,89.5,842.7,454,2058.8,268.7,8594.4,346.4,122.6,25941.6,1684.6,887.4,9517.3,2182.5,1373.1,291.5
1/11/00,403.7,418,1065.4,71.2,283.5,233.7,1085.5,2145.6,116.4,656.4,8806.9,176.2,815.6,176.5,7201.1,525.6,5193,717.1,716.1,2216.5,14642.4,2017.5,940429.6,1155.7,491.2,120.5,94,832.9,1676.4,225.1,426.9,1101.8,810.4,226.9,2468.1,372.5,48.1,241.5,90.5,842.7,479.3,2297.4,268.1,8092.9,347.3,118,25207.2,1663.6,878.3,9707.5,2174.8,1303.8,291.7
1/12/00,398.5,420.5,1074.5,70.4,286.6,248.7,1079.8,2213.9,121.2,666.7,8806.9,172.9,826.2,179.4,6925,507.2,5087.7,729,700.7,2222.6,14666.7,1928.1,943945.3,1118.5,487.1,119.9,94,850.4,1680.9,225.3,427.3,1128.3,833.2,227.8,2489.7,362.3,47.4,241.5,89.9,849.2,473.2,2135.2,273.3,8157.1,349.1,123.6,24840,1718.6,859.9,9864.6,2268,1250,287.2
1/13/00,392.3,437.7,1085.8,68.5,286.1,249.4,1085.5,2270.9,119.9,728.2,8970.9,172.9,847.3,176.5,7454.2,476.7,4918.6,765.4,711,2249.2,15345.5,1816.3,943945.3,1128.4,490,120.1,94,835.1,1712.7,225.3,439.2,1141.6,887.8,228.3,2487,360,49.6,244.6,91.3,854.4,475.2,2087.5,272.3,7871.4,356.4,122.6,24624,1833.9,859.9,10104.4,2392.2,1350,283
1/14/00,389,467.2,1082.8,71.4,289.4,252.4,1109.9,2377.2,123.9,712.8,9476,174.6,877.7,173.5,7684.3,449.2,4940.4,810.9,739.3,2216.5,15878.8,1900.1,938671.8,1147,494.5,121.7,94,835.1,1789.7,225.3,448.7,1163.7,927.3,232.2,2558.4,369.1,47.9,272.5,90.5,885.9,489.2,2052.9,268.7,7859.7,356.4,123.6,24904.8,1820.8,857.5,10459.9,2427.2,1330.8,295.1
